block,SD,larvae_produced,number_of_laying_females,copies_of_SD,parent_with_SD,MotherHasSD,FatherHasSD,SD_from_mum,SD_from_dad,mum_genotype,dad_genotype,vial
1,SD-5,121,4,0,Both parents,1,1,No,No,SD-5,SD-5,1
1,SD-5,155,5,0,Both parents,1,1,No,No,SD-5,SD-5,2
1,SD-5,49,3,1,Both parents,1,1,Yes,Yes,SD-5,SD-5,3
1,SD-5,73,4,1,Both parents,1,1,Yes,Yes,SD-5,SD-5,4
1,SD-5,91,4,1,Both parents,1,1,Yes,Yes,SD-5,SD-5,5
1,SD-5,160,5,1,Both parents,1,1,Yes,Yes,SD-5,SD-5,6
1,SD-5,222,4,0,Mother,1,0,No,No,SD-5,wild_type,7
1,SD-5,201,5,0,Mother,1,0,No,No,SD-5,wild_type,8
1,SD-5,144,4,0,Mother,1,0,No,No,SD-5,wild_type,9
1,SD-5,196,5,0,Mother,1,0,No,No,SD-5,wild_type,10
1,SD-5,169,5,0,Mother,1,0,No,No,SD-5,wild_type,11
1,SD-5,148,5,1,Mother,1,0,Yes,No,SD-5,wild_type,12
1,SD-5,45,5,1,Mother,1,0,Yes,No,SD-5,wild_type,13
1,SD-5,138,5,1,Mother,1,0,Yes,No,SD-5,wild_type,14
1,SD-5,76,5,1,Mother,1,0,Yes,No,SD-5,wild_type,15
1,SD-5,93,5,1,Mother,1,0,Yes,No,SD-5,wild_type,16
1,SD-5,228,5,0,Father,0,1,No,No,wild_type,SD-5,17
1,SD-5,133,3,0,Father,0,1,No,No,wild_type,SD-5,18
1,SD-5,122,4,1,Father,0,1,No,Yes,wild_type,SD-5,19
1,SD-5,163,5,1,Father,0,1,No,Yes,wild_type,SD-5,20
1,SD-5,216,5,1,Father,0,1,No,Yes,wild_type,SD-5,21
1,SD-5,74,4,1,Father,0,1,No,Yes,wild_type,SD-5,22
1,SD-72,196,5,1,Both parents,1,1,Yes,Yes,SD-72,SD-72,23
1,SD-72,148,5,1,Both parents,1,1,Yes,Yes,SD-72,SD-72,24
1,SD-72,154,5,1,Both parents,1,1,Yes,Yes,SD-72,SD-72,25
1,SD-72,193,5,1,Both parents,1,1,Yes,Yes,SD-72,SD-72,26
1,SD-72,212,5,0,Mother,1,0,No,No,SD-72,wild_type,27
1,SD-72,213,4,0,Mother,1,0,No,No,SD-72,wild_type,28
1,SD-72,142,5,0,Mother,1,0,No,No,SD-72,wild_type,29
1,SD-72,126,4,0,Mother,1,0,No,No,SD-72,wild_type,30
1,SD-72,244,5,0,Mother,1,0,No,No,SD-72,wild_type,31
1,SD-72,107,4,1,Mother,1,0,Yes,No,SD-72,wild_type,32
1,SD-72,242,5,1,Mother,1,0,Yes,No,SD-72,wild_type,33
