block,SD,focal_daughters,focal_sons,rival_daughters,rival_sons,copies_of_SD,parent_with_SD,MotherHasSD,FatherHasSD,SD_from_mum,SD_from_dad,mum_genotype,dad_genotype,focal.male.fitness,rival.male.fitness,total,vial
1,SD-Mad,38,36,11,4,1,Mother,1,0,Yes,No,SD-Mad,wild_type,74,15,89,1
1,SD-Mad,35,30,10,20,1,Mother,1,0,Yes,No,SD-Mad,wild_type,65,30,95,2
1,SD-Mad,52,40,2,5,1,Mother,1,0,Yes,No,SD-Mad,wild_type,92,7,99,3
1,SD-Mad,98,86,11,4,1,Mother,1,0,Yes,No,SD-Mad,wild_type,184,15,199,4
1,SD-Mad,73,92,1,2,1,Mother,1,0,Yes,No,SD-Mad,wild_type,165,3,168,5
1,SD-Mad,46,54,27,32,1,Mother,1,0,Yes,No,SD-Mad,wild_type,100,59,159,6
1,SD-Mad,48,59,31,34,1,Mother,1,0,Yes,No,SD-Mad,wild_type,107,65,172,7
1,SD-Mad,62,70,7,8,1,Mother,1,0,Yes,No,SD-Mad,wild_type,132,15,147,8
1,SD-Mad,42,44,5,8,0,Mother,1,0,No,No,SD-Mad,wild_type,86,13,99,9
1,SD-Mad,40,35,11,10,0,Mother,1,0,No,No,SD-Mad,wild_type,75,21,96,10
1,SD-Mad,54,56,0,0,0,Mother,1,0,No,No,SD-Mad,wild_type,110,0,110,11
1,SD-Mad,54,42,32,51,0,Mother,1,0,No,No,SD-Mad,wild_type,96,83,179,12
1,SD-Mad,15,21,65,49,2,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,36,114,150,13
1,SD-Mad,10,10,84,80,2,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,20,164,184,14
1,SD-Mad,3,0,82,74,2,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,3,156,159,15
1,SD-Mad,42,40,58,42,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,82,100,182,16
1,SD-Mad,28,14,58,54,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,42,112,154,17
1,SD-Mad,62,48,13,13,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,110,26,136,18
1,SD-Mad,40,41,56,56,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,81,112,193,19
1,SD-Mad,72,56,18,9,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,128,27,155,20
1,SD-Mad,28,44,60,48,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,72,108,180,21
1,SD-Mad,56,56,10,13,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,112,23,135,22
1,SD-Mad,76,65,35,29,1,Both parents,1,1,Yes,Yes,SD-Mad,SD-Mad,141,64,205,23
1,SD-Mad,88,64,38,34,0,Both parents,1,1,No,No,SD-Mad,SD-Mad,152,72,224,24
1,SD-Mad,74,46,22,20,1,Father,0,1,No,Yes,wild_type,SD-Mad,120,42,162,25
1,SD-Mad,74,62,10,8,1,Father,0,1,No,Yes,wild_type,SD-Mad,136,18,154,26
1,SD-Mad,66,53,0,0,1,Father,0,1,No,Yes,wild_type,SD-Mad,119,0,119,27
1,SD-Mad,59,53,11,4,1,Father,0,1,No,Yes,wild_type,SD-Mad,112,15,127,28
1,SD-Mad,68,64,6,5,1,Father,0,1,No,Yes,wild_type,SD-Mad,132,11,143,29
1,SD-Mad,60,72,0,0,1,Father,0,1,No,Yes,wild_type,SD-Mad,132,0,132,30
1,SD-Mad,64,66,34,34,1,Father,0,1,No,Yes,wild_type,SD-Mad,130,68,198,31
1,SD-Mad,30,44,8,9,1,Father,0,1,No,Yes,wild_type,SD-Mad,74,17,91,32
1,SD-Mad,32,38,50,46,0,Father,0,1,No,No,wild_type,SD-Mad,70,96,166,33
1,SD-Mad,98,80,18,10,0,Father,0,1,No,No,wild_type,SD-Mad,178,28,206,34
1,SD-Mad,68,66,3,1,0,Father,0,1,No,No,wild_type,SD-Mad,134,4,138,35
1,SD-Mad,49,31,32,29,0,Father,0,1,No,No,wild_type,SD-Mad,80,61,141,36
1,SD-Mad,78,70,7,5,0,Father,0,1,No,No,wild_type,SD-Mad,148,12,160,37
1,SD-72,62,62,11,19,1,Mother,1,0,Yes,No,SD-72,wild_type,124,30,154,38
1,SD-72,84,60,15,19,1,Mother,1,0,Yes,No,SD-72,wild_type,144,34,178,39
1,SD-72,42,40,26,19,1,Mother,1,0,Yes,No,SD-72,wild_type,82,45,127,40
1,SD-72,82,90,5,6,1,Mother,1,0,Yes,No,SD-72,wild_type,172,11,183,41
1,SD-72,44,54,27,18,1,Mother,1,0,Yes,No,SD-72,wild_type,98,45,143,42
1,SD-72,31,19,29,30,1,Mother,1,0,Yes,No,SD-72,wild_type,50,59,109,43
1,SD-72,66,71,5,6,1,Mother,1,0,Yes,No,SD-72,wild_type,137,11,148,44
1,SD-72,51,51,9,10,1,Mother,1,0,Yes,No,SD-72,wild_type,102,19,121,45
1,SD-72,57,45,6,8,0,Mother,1,0,No,No,SD-72,wild_type,102,14,116,46
1,SD-72,57,57,17,14,0,Mother,1,0,No,No,SD-72,wild_type,114,31,145,47
1,SD-72,22,12,14,11,0,Mother,1,0,No,No,SD-72,wild_type,34,25,59,48
1,SD-72,58,48,23,21,0,Mother,1,0,No,No,SD-72,wild_type,106,44,150,49
1,SD-72,22,24,34,49,1,Both parents,1,1,Yes,Yes,SD-72,SD-72,46,83,129,50
1,SD-72,48,44,32,45,1,Both parents,1,1,Yes,Yes,SD-72,SD-72,92,77,169,51
1,SD-72,64,56,44,28,1,Both parents,1,1,Yes,Yes,SD-72,SD-72,120,72,192,52
1,SD-72,38,44,22,20,1,Both parents,1,1,Yes,Yes,SD-72,SD-72,82,42,124,53
1,SD-72,38,29,13,15,1,Both parents,1,1,Yes,Yes,SD-72,SD-72,67,28,95,54
1,SD-72,74,68,34,25,1,Both parents,1,1,Yes,Yes,SD-72,SD-72,142,59,201,55
1,SD-72,80,92,10,10,1,Both parents,1,1,Yes,Yes,SD-72,SD-72,172,20,192,56
1,SD-72,68,56,20,21,1,Both parents,1,1,Yes,Yes,SD-72,SD-72,124,41,165,57
