block,SD,genotype,focal_daughters,focal_sons,rival_daughters,rival_sons
1,Mad,M1,38,36,11,4
1,Mad,M1,35,30,10,20
1,Mad,M1,52,40,2,5
1,Mad,M1,98,86,11,4
1,Mad,M1,73,92,1,2
1,Mad,M1,46,54,27,32
1,Mad,M1,48,59,31,34
1,Mad,M1,62,70,7,8
1,Mad,M0,42,44,5,8
1,Mad,M0,40,35,11,10
1,Mad,M0,54,56,0,0
1,Mad,M0,54,42,32,51
1,Mad,A2,15,21,65,49
1,Mad,A2,10,10,84,80
1,Mad,A2,3,0,82,74
1,Mad,A1,42,40,58,42
1,Mad,A1,28,14,58,54
1,Mad,A1,62,48,13,13
1,Mad,A1,40,41,56,56
1,Mad,A1,72,56,18,9
1,Mad,A1,28,44,60,48
1,Mad,A1,56,56,10,13
1,Mad,A1,76,65,35,29
1,Mad,A0,88,64,38,34
1,Mad,P1,74,46,22,20
1,Mad,P1,74,62,10,8
1,Mad,P1,66,53,0,0
1,Mad,P1,59,53,11,4
1,Mad,P1,68,64,6,5
1,Mad,P1,60,72,0,0
1,Mad,P1,64,66,34,34
1,Mad,P1,30,44,8,9
1,Mad,P0,32,38,50,46
1,Mad,P0,98,80,18,10
1,Mad,P0,68,66,3,1
1,Mad,P0,49,31,32,29
1,Mad,P0,78,70,7,5
1,72,M1,62,62,11,19
1,72,M1,84,60,15,19
1,72,M1,42,40,26,19
1,72,M1,82,90,5,6
1,72,M1,44,54,27,18
1,72,M1,31,19,29,30
1,72,M1,66,71,5,6
1,72,M1,51,51,9,10
1,72,M0,57,45,6,8
1,72,M0,57,57,17,14
1,72,M0,22,12,14,11
1,72,M0,58,48,23,21
1,72,A1,22,24,34,49
1,72,A1,48,44,32,45
1,72,A1,64,56,44,28
1,72,A1,38,44,22,20
1,72,A1,38,29,13,15
1,72,A1,74,68,34,25
1,72,A1,80,92,10,10
1,72,A1,68,56,20,21
1,72,P1,56,62,6,2
1,72,P1,32,52,7,5
1,72,P1,48,52,42,47
1,72,P1,50,49,5,5
1,72,P1,74,66,6,9
1,72,P1,56,52,9,5
1,72,P0,91,85,0,0
1,72,P0,84,76,16,6
1,72,P0,66,78,12,7
1,72,P0,96,94,8,4
1,72,P0,80,66,16,14
1,5,M1,11,9,34,53
1,5,M1,26,28,32,34
1,5,M1,10,14,16,15
1,5,M1,22,18,46,50
1,5,M0,76,66,20,15
1,5,M0,32,28,28,30
1,5,M0,34,55,10,6
1,5,M0,76,34,0,0
1,5,M0,36,44,28,33
1,5,M0,62,62,0,0
1,5,M0,21,8,18,14
1,5,M0,62,60,18,22
1,5,A1,23,25,54,61
1,5,P1,14,14,89,71
1,5,P1,0,0,44,56
1,5,P1,0,1,28,46
1,5,P1,11,3,75,57
1,5,P1,3,1,52,46
1,5,P0,43,53,23,23
1,N,N0,61,64,40,36
1,N,N0,67,70,16,12
1,N,N0,34,40,16,20
1,N,N0,27,18,26,17
1,N,N0,68,60,27,26
1,N,N0,76,56,10,6
2,Mad,M1,68,52,11,9
2,Mad,M1,62,72,0,0
2,Mad,M1,60,63,0,0
2,Mad,M1,16,18,18,6
2,Mad,M1,25,32,0,0
2,Mad,M1,50,63,30,13
2,Mad,M1,19,18,4,3
2,Mad,M1,12,16,9,8
2,Mad,M0,43,37,7,11
2,Mad,M0,30,36,0,0
2,Mad,M0,37,30,19,4
2,Mad,M0,15,15,8,9
2,Mad,M0,22,21,8,14
2,Mad,M0,0,3,0,0
2,Mad,A2,0,1,17,17
2,Mad,A2,14,14,17,15
2,Mad,A2,2,5,37,40
2,Mad,A2,14,12,60,83
2,Mad,A2,9,3,40,45
2,Mad,A2,11,12,32,29
2,Mad,A2,0,0,22,16
2,Mad,A1,23,20,4,9
2,Mad,A1,26,26,12,12
2,Mad,A1,39,31,0,0
2,Mad,A1,50,47,7,6
2,Mad,A1,55,57,8,7
2,Mad,A1,56,51,0,0
2,Mad,A1,55,53,0,0
2,Mad,A0,68,72,1,1
2,Mad,P1,15,27,0,0
2,Mad,P1,22,23,3,4
2,Mad,P1,28,31,0,0
2,Mad,P1,51,44,9,3
2,Mad,P1,17,15,1,5
2,Mad,P1,94,96,13,6
2,Mad,P1,45,48,0,0
2,Mad,P0,28,27,23,28
2,Mad,P0,26,30,6,7
2,Mad,P0,34,38,14,15
2,Mad,P0,29,27,8,4
2,Mad,P0,68,60,15,15
2,Mad,P0,14,29,4,4
2,72,M1,62,41,0,2
2,72,M1,56,52,9,12
2,72,M1,67,66,0,0
2,72,M1,32,29,2,0
2,72,M1,23,21,13,19
2,72,M1,6,7,0,1
2,72,M1,15,15,5,2
2,72,M1,7,12,2,2
2,72,M0,45,45,27,45
2,72,M0,78,62,3,6
2,72,M0,28,24,2,4
2,72,M0,43,34,16,17
2,72,M0,16,20,25,20
2,72,M0,35,39,0,0
2,72,M0,7,11,8,9
2,72,M0,11,4,0,0
2,72,A1,61,54,11,17
2,72,A1,50,39,15,18
2,72,A1,48,58,0,1
2,72,A1,31,27,18,18
2,72,A1,49,39,6,5
2,72,A1,14,10,10,8
2,72,A1,24,28,4,2
2,72,P1,37,48,1,1
2,72,P1,30,33,5,13
2,72,P1,11,17,27,16
2,72,P1,5,3,0,0
2,72,P1,37,26,6,9
2,72,P1,5,12,13,12
2,72,P1,19,10,4,0
2,72,P0,68,68,3,4
2,72,P0,37,39,10,12
2,72,P0,36,25,10,14
2,72,P0,25,32,8,4
2,72,P0,20,29,1,2
2,72,P0,30,51,2,1
2,72,P0,9,12,7,7
2,5,M1,5,2,20,25
2,5,M1,2,3,32,44
2,5,M1,5,4,12,17
2,5,M1,8,6,11,10
2,5,M1,6,6,19,8
2,5,M0,2,11,0,0
2,5,M0,12,22,8,4
2,5,M0,5,5,0,0
2,5,M0,11,19,2,4
2,5,M0,3,4,0,0
2,5,M0,12,15,1,0
2,5,M0,15,16,8,11
2,5,M0,38,48,5,4
2,5,A1,18,20,4,3
2,5,A1,10,11,8,7
2,5,A1,5,5,8,9
2,5,A1,12,4,19,19
2,5,A1,4,2,4,8
2,5,A1,12,14,16,20
2,5,A1,2,0,2,9
2,5,A1,1,4,0,0
2,5,P1,0,1,47,39
2,5,P1,10,12,81,76
2,5,P1,5,5,50,55
2,5,P1,11,10,34,35
2,5,P1,0,0,27,37
2,5,P1,1,1,15,17
2,5,P1,1,2,21,27
2,5,P1,0,1,31,29
2,5,P0,2,4,15,18
2,N,N0,13,17,6,4
2,N,N0,10,17,2,0
2,N,N0,2,8,0,0
3,Mad,M1,6,16,6,4
3,Mad,M0,0,4,5,7
3,Mad,A2,0,0,5,7
3,Mad,A2,6,12,0,0
3,Mad,A2,0,0,1,5
3,Mad,A2,0,2,6,5
3,Mad,A1,55,59,13,10
3,Mad,A1,60,53,0,2
3,Mad,A1,41,38,9,12
3,Mad,A0,24,21,5,1
3,Mad,A0,23,29,1,1
3,Mad,A0,12,18,12,8
3,Mad,P1,30,32,9,6
3,Mad,P1,9,12,7,7
3,Mad,P1,36,38,12,6
3,Mad,P0,28,36,0,0
3,Mad,P0,34,52,10,6
3,Mad,P0,8,0,6,10
3,72,M1,26,17,24,10
3,72,M0,30,56,1,3
3,72,A1,16,5,4,2
3,72,A1,2,3,0,2
3,72,A1,4,3,2,3
3,72,A1,0,0,2,0
3,72,A0,6,9,1,3
3,72,P1,20,16,13,8
3,72,P1,15,6,4,9
3,72,P1,47,47,34,23
3,72,P1,37,45,4,7
3,72,P1,32,40,20,13
3,72,P0,15,13,2,0
3,72,P0,5,9,0,1
3,72,P0,0,2,0,0
3,72,P0,2,9,1,1
3,5,M1,2,0,0,0
3,5,M1,7,5,17,20
3,5,M1,5,0,29,20
3,5,M0,1,5,0,0
3,5,A1,0,2,9,13
3,5,A1,4,1,8,12
3,5,A1,3,4,7,20
3,5,A1,4,3,4,9
3,5,A0,14,20,15,9
3,5,P1,3,1,17,10
3,5,P1,0,0,15,16
3,5,P1,2,5,11,8
3,5,P1,9,5,14,17
3,5,P1,5,0,0,0
3,5,P0,43,34,7,1
3,5,P0,30,26,18,10
3,5,P0,4,10,0,0
3,N,N0,35,30,8,11
3,N,N0,24,21,0,0
3,N,N0,21,22,5,10
3,N,N0,2,19,3,1
