SD,Trait,Comparison,Difference,Relative difference,p
SD-5,Female fitness,"Mother, 0 - Father, 0",-16.4 (-31.0 to  -1.0),0.62 (0.38 to 0.97),0.018625
SD-5,Female fitness,"Neither, 0 - Mother, 0", 14.4 (  0.4 to  28.6),1.57 (1.01 to 2.31),0.021875
SD-5,Female fitness,"Mother, 0 - Mother, 1",-12.5 (-26.1 to   0.2),0.71 (0.49 to 1.00),0.026874999999999996
SD-5,Larval survival,"Both parents, 0 or 1 - Both parents, 2",-77.1 (-87.8 to -62.2),0.00 (0.00 to 0.03),0
SD-5,Male fitness,"Mother, 0 - Mother, 1",-61.6 (-77.7 to -41.0),0.30 (0.15 to 0.52),0
SD-5,Male fitness,"Father, 0 - Father, 1",-64.5 (-85.6 to -34.6),0.10 (0.04 to 0.21),0
SD-5,Male fitness,"Mother, 1 - Father, 1",-20.0 (-39.2 to  -5.5),0.28 (0.10 to 0.64),0.003375
SD-72,Larval survival,"Both parents, 0 or 1 - Both parents, 2",-77.5 (-87.8 to -63.6),0.00 (0.00 to 0.00),0
SD-Mad,Female fitness,"Both parents, 1 - Both parents, 2",-23.4 (-33.1 to -15.0),0.33 (0.23 to 0.47),0
SD-Mad,Female fitness,"Neither, 0 - Mother, 0", 18.7 (  3.8 to  34.7),1.73 (1.11 to 2.56),0.005875
SD-Mad,Female fitness,"Mother, 0 - Father, 0",-17.0 (-32.6 to  -3.2),0.64 (0.43 to 0.91),0.008625
SD-Mad,Male fitness,"Both parents, 1 - Both parents, 2",-70.6 (-82.6 to -54.2),0.16 (0.06 to 0.31),0
SD-Mad,Male fitness,"Father, 0 - Father, 1", 11.5 ( -0.6 to  26.7),1.15 (0.99 to 1.40),0.032125
